ID,X(m),Y(m)
465,341821.84,3048649.16
466,342348.69,3048782.12
467,345983.40,3052302.20
468,354905.85,3041697.38
469,347292.36,3050989.35
470,344106.01,3039773.93
471,347903.50,3035671.72
472,343860.59,3050031.12
473,346746.75,3052025.91
474,342591.11,3049283.21
475,348304.55,3035797.80
476,341647.29,3047348.97
